Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
808,88.35,public,vehicle scrap,3,518025.72648066265,8592416.445428072,"c(518025.726480663, 8592416.44542807)",KOUNGOU
809,59.94,public,vehicle scrap,1,517907.1533153101,8592560.241985159,"c(517907.15331531, 8592560.24198516)",KOUNGOU
810,62,public,droppings,1,517927.0576492972,8592622.341307595,"c(517927.057649297, 8592622.3413076)",KOUNGOU
811,-2.833,public,vehicle scrap,1,517206.86101862334,8591995.10798103,"c(517206.861018623, 8591995.10798103)",KOUNGOU
812,-8.267,public,vehicle scrap,5,517231.32979514444,8591917.68282843,"c(517231.329795144, 8591917.68282843)",KOUNGOU
813,-1.64,public,vehicle scrap,2,517239.01745318645,8591846.32130239,"c(517239.017453186, 8591846.32130239)",KOUNGOU
814,-1.02,public,vehicle scrap,4,517230.02500258654,8591814.660937803,"c(517230.025002587, 8591814.6609378)",KOUNGOU
815,3.32,public,vehicle scrap,1,517212.3972496712,8591747.694011142,"c(517212.397249671, 8591747.69401114)",KOUNGOU
816,8.22,public,solid waste,2,517242.7657328744,8591585.117400592,"c(517242.765732874, 8591585.11740059)",KOUNGOU
817,-4.433,public,vehicle scrap,2,517190.1572629635,8591898.263884343,"c(517190.157262963, 8591898.26388434)",KOUNGOU
818,-15.594,public,solid waste,10,516728.90269135893,8591840.765251197,"c(516728.902691359, 8591840.7652512)",KOUNGOU
819,-5,public,vehicle scrap,2,516677.5902195532,8591732.6341088,"c(516677.590219553, 8591732.6341088)",KOUNGOU
820,42.714,prive,clogged drain,3,524958.809863009,8587469.56537798,"c(524958.809863009, 8587469.56537798)",MAMOUDZOU
821,5.976,public,vehicle scrap,2,511082.79424276296,8572228.130056713,"c(511082.794242763, 8572228.13005671)",BOUENI
822,0,public,vehicle scrap,1,511072.87986264157,8572332.978086181,"c(511072.879862642, 8572332.97808618)",BOUENI
823,0,public,solid waste,10,511060.5932988651,8572324.097415756,"c(511060.593298865, 8572324.09741576)",BOUENI
824,6.828,public,droppings,10,511034.2298246182,8572275.065348564,"c(511034.229824618, 8572275.06534856)",BOUENI
